DEPTH: 1
THRESH	vertex-c	edge-c
0	inf	inf	
0.05	inf	inf	
0.1	2.82477876106	2.30242272348	
0.15	2.82477876106	2.30242272348	
0.2	1.93083675742	2.38118356398	
0.25	1.815242616	2.19742142362	
0.3	1.54000288869	2.32372039433	
0.35	1.54000288869	2.41699163966	
0.4	1.46241346216	2.23382561296	
0.45	1.29182290382	2.32902515277	
0.5	1.17849381847	1.99279124897	
0.55	1.29751603422	1.8697902258	
0.6	1.03287504499	1.69844597776	
0.65	1.03287504499	1.68314505636	
0.7	0.989175529184	1.51535727712	
0.75	0.989175529184	1.44171153223	
0.8	0.863809305933	1.49362671038	
0.85	0.603645590333	1.17737248113	
0.9	0.603645590333	0.960764435423	
0.95	0.603645590333	0.958511253449	
1.0	inf	inf

DEPTH: 2
THRESH	vertex-c	edge-c
0	inf	inf	
0.05	inf	inf	
0.1	2.38433657118	2.30242272348	
0.15	1.76647744733	2.30242272348	
0.2	1.76403541242	2.38118356398	
0.25	1.33338823964	2.19742142362	
0.3	1.24511512826	2.32372039433	
0.35	1.24352251797	2.40966685602	
0.4	1.02570281005	2.22684962854	
0.45	1.02570281005	2.32902515277	
0.5	1.04024377917	1.77696870603	
0.55	1.04024377917	1.87334667087	
0.6	1.04024377917	1.68518337829	
0.65	1.04024377917	1.70949534567	
0.7	0.735533450897	1.48526093071	
0.75	0.735533450897	1.44240197648	
0.8	0.735533450897	1.48697215615	
0.85	0.54344794002	1.29372720237	
0.9	0.54344794002	0.972003867744	
0.95	0.54344794002	0.960020150468

DEPTH: 3
THRESH	vertex-c	edge-c
0	inf	inf	
0.05	inf	inf	
0.1	2.37316662659	2.30242272348	
0.15	2.37316662659	2.30242272348	
0.2	2.10217119187	2.38118356398	
0.25	1.61361050641	2.19742142362	
0.3	1.18199092495	2.32372039433	
0.35	1.00191529534	2.41699163966	
0.4	1.00858627604	2.22684962854	
0.45	1.00526804678	2.32902515277	
0.5	1.00740666676	1.98958391173	
0.55	1.00561103641	1.94167070213	
0.6	0.873883686164	1.69844597776	
0.65	0.873883686164	1.68332663838	
0.7	0.770870214523	1.48726332647	
0.75	0.770870214523	1.44240197648	
0.8	0.770870214523	1.48656811575	
0.85	0.626033698966	1.1805452343	
0.9	0.626033698966	0.960020150468	
0.95	0.626033698966	0.964273207353	

DEPTH: 4
THRESH	vertex-c	edge-c
0	inf	inf	
0.05	inf	inf	
0.1	2.13911813252	2.30242272348	
0.15	2.13911813252	2.30242272348	
0.2	2.10217119187	2.38118356398	
0.25	1.61361050641	2.19742142362	
0.3	1.41119626634	2.32372039433	
0.35	1.4134807263	2.41699163966	
0.4	1.07399365935	2.23382561296	
0.45	1.07809252557	2.32902515277	
0.5	1.07962494614	1.96887591851	
0.55	1.07635277971	1.78491441475	
0.6	1.07654986339	1.70343410126	
0.65	1.07654986339	1.69604920719	
0.7	0.962260163828	1.48526093071	
0.75	0.962260163828	1.49310205072	
0.8	0.754341899149	1.44120573273	
0.85	0.608176556109	1.29202752979	
0.9	0.608176556109	0.954670993262	
0.95	0.608176556109	0.964273207353	
