DEPTH: 1
THRESH	vertex-c	edge-c
0	-0.974025974026	-0.0338035491071	
0.05	-0.974025974026	-0.0338035491071	
0.1	0.442467508497	0.0211569728796	
0.15	0.442467508497	0.19257059885	
0.2	0.442467508497	0.303184230366	
0.25	0.460333240649	0.301333598444	
0.3	0.469403535433	0.314629826026	
0.35	0.478638744669	0.336827565939	
0.4	0.625222816399	0.347555116826	
0.45	0.625222816399	0.378367625811	
0.5	0.656421356421	0.455278398794	
0.55	0.667818839247	0.455278398794	
0.6	0.689910307557	0.45177857971	
0.65	0.702749460814	0.44854583362	
0.7	0.759838646202	0.497526656473	
0.75	0.775541125541	0.502292933966	
0.8	0.775541125541	0.513812169083	
0.85	0.809523809524	0.514311669583	
0.9	0.809523809524	0.479634803054	
0.95	0.809523809524	0.467861656742	
